child_slug,parent_slug,reviewer,review_batch,rationale,source_citation
pepperoni-pizza,pizza,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pickle-chips,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pickled-jalapeno-peppers,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
pickled-peppers,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pickles,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pie,dessert,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pine-nut,nut,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pineapple,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pineapple-juice,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
piper-pepper,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pizza,meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
plant-based-burger-patty,plant-based-meat-alternative,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
plant-based-meat-alternative,meat-alternative,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
plant-based-milk,milk-alternative,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
plant-derived,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
pork,meat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
potato,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
poultry,meat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
prepared-food,food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
prepared-meal,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
quinoa,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
ranch-dressing,salad-dressing,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
rice,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
rosemary,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
salad,meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
salad-dressing,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
salsa,dip,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
salsa-verde,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
salt,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
santa-fe-salad,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sauce,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
seafood,animal-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
seasoning,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
seasoning-blend,seasoning,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
seed,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sesame,seed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sesame-oil,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
sesame-seed,seed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sesame-seeds,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
shallot,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
shellfish,seafood,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
smoke-roasted-salmon-bites,snack,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
snack,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
soda,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
soup,meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sour-cream,cream,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
soy-sauce,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
soybean,legume,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
spice,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
spicy-brown-mustard,brown-mustard,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
spinach,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sports-drink,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
spread,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
spring-onion,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
staple,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
starch,flour-starch,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
steak-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
stock,stock-broth,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
stock-base,stock-broth,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
stock-broth,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
stock-paste,stock-broth,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
strawberry,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sugar,sweetener,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sun-dried-tomatoes,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
sunflower-seed,seed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sweet-potato,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
sweetener,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
swiss-cheese,cheese,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
syrup,sweetener,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tacos,prepared-meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tahini,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tamarind,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
thickener,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
thyme,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tomato,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tomato-paste,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tomato-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tortilla-chips,snack,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
tree-nuts,nuts,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
turmeric,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vanilla,spice,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vanilla-extract,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vanilla-sugar,composite-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vegetable,plant-derived,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vegetable-soup,soup,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vegetables,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
vinegar,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
walnut,nut,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
walnuts,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
water,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
wheat,grain,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
white-chocolate,chocolate,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
wine,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
worcestershire-sauce,condiment,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
yeast,leavening,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
yellow-mustard,mustard,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
yogurt,dairy,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
zucchini,vegetable,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
