child_slug,previous_parent_slug,new_parent_slug,change_kind,review_state,reviewer,review_batch,rationale,source_citation
noodle-soup,soup,soup,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
noodles,,grain,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
nut,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
nut-butter,butter,condiment,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
nutmeg,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
nuts,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
oats,,grain,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
oil,ingredient,oil-fat,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
oil-fat,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
olive,ingredient,fruit,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
olives,vegetable,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
onion,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
orange,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
orange-juice,,beverage,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
oregano,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
oyster,,shellfish,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
oyster-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
paprika,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
parmesan,cheese,cheese,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
parsley,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
passata,,sauce,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pasta,,grain,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
peanut,,legume,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
peanut-butter,nut-butter,nut-butter,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
peanuts,legumes,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pear,fruit-preserve,fruit,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pear-marmalade,pear,pear,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pepper,vegetable,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pepper-jack-cheese,cheese,cheese,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
peppercorn,,,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pepperoni-pizza,pizza,pizza,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pickle-chips,pickles,condiment,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pickled-jalapeno-peppers,pickled-peppers,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pickled-peppers,pepper,condiment,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pickles,vegetable,condiment,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pie,dessert,dessert,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pine-nut,,nut,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pineapple,fruit,fruit,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pineapple-juice,,beverage,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
piper-pepper,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pizza,prepared-meal,meal,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
plant-based-burger-patty,plant-based-meat-alternative,plant-based-meat-alternative,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
plant-based-meat-alternative,meat-alternative,meat-alternative,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
plant-based-milk,milk-alternative,milk-alternative,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
plant-derived,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
pork,meat,meat,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
potato,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
poultry,,meat,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
prepared-food,food,food,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
prepared-meal,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
quinoa,,grain,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
ranch-dressing,salad-dressing,salad-dressing,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
rice,grain,grain,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
rosemary,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
salad,,meal,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
salad-dressing,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
salsa,dip,dip,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
salsa-verde,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
salt,ingredient,ingredient,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
santa-fe-salad,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sauce,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
seafood,,animal-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
seasoning,spice,spice,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
seasoning-blend,seasoning,seasoning,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
seed,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sesame,seed,seed,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sesame-oil,oil,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sesame-seed,,seed,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sesame-seeds,seasoning,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
shallot,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
shellfish,seafood,seafood,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
smoke-roasted-salmon-bites,,snack,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
snack,prepared-meal,prepared-food,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
soda,beverage,beverage,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
soup,prepared-meal,meal,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sour-cream,cream,cream,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
soy-sauce,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
soybean,condiment,legume,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
spice,,plant-derived,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
spicy-brown-mustard,brown-mustard,brown-mustard,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
spinach,leafy-vegetable,vegetable,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sports-drink,beverage,beverage,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
spread,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
spring-onion,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
staple,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
starch,,flour-starch,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
steak-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
stock,ingredient,stock-broth,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
stock-base,stock,stock-broth,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
stock-broth,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
stock-paste,,stock-broth,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
strawberry,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sugar,sweetener,sweetener,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sun-dried-tomatoes,tomato,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sunflower-seed,,seed,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sweet-potato,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
sweetener,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
swiss-cheese,cheese,cheese,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
syrup,sweetener,sweetener,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tacos,prepared-meal,prepared-meal,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tahini,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tamarind,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
thickener,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
thyme,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tomato,vegetable,vegetable,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tomato-paste,,sauce,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tomato-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tortilla-chips,snack,snack,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
tree-nuts,nuts,nuts,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
turmeric,,spice,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vanilla,ingredient,spice,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vanilla-extract,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vanilla-sugar,,composite-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vegetable,ingredient,plant-derived,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vegetable-soup,soup,soup,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vegetables,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
vinegar,condiment,condiment,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
walnut,,nut,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
walnuts,tree-nuts,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
water,ingredient,ingredient,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
wheat,grain,grain,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
white-chocolate,,chocolate,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
wine,,beverage,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
worcestershire-sauce,,condiment,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
yeast,,leavening,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
yellow-mustard,mustard,mustard,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
yogurt,,dairy,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
zucchini,,vegetable,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
