slug,canonical_name,entity_kind,identity_role,active,reviewer,review_batch,rationale,source_citation
meat,Meat,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
meat-alternative,Meat alternative,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
mexican-salsa,Mexican Salsa,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
milk,Milk,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
milk-alternative,Milk alternative,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mint,Mint,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
miso,Miso,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
miso-soup,Miso soup,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
molasses,Molasses,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mozzarella,Mozzarella,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
multi-ingredient-soup,Multi-ingredient soup,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mushroom,Mushroom,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
mustard,Mustard,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
nachos,Nachos,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
noodle,Noodle,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
noodle-soup,Noodle Soup,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
noodles,Noodles,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
nut,Nut,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
nut-butter,Nut butter,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
nutmeg,Nutmeg,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
nuts,Nuts,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
oats,Oats,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
oil,Oil,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
oil-fat,Oil and Fat,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
olive,Olive,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
olives,Olives,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
onion,Onion,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
orange,Orange,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
orange-juice,Orange Juice,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
oregano,Oregano,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
oyster,Oyster,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
oyster-sauce,Oyster sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
paprika,Paprika,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
parmesan,Parmesan,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
parsley,Parsley,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
passata,Passata,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pasta,Pasta,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
peanut,Peanut,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
peanut-butter,Peanut butter,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
peanuts,Peanuts,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pear,Pear,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pear-marmalade,Pear marmalade,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pepper,Pepper,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pepper-jack-cheese,Pepper jack cheese,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
peppercorn,Peppercorn,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pepperoni-pizza,Pepperoni pizza,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pickle-chips,Pickle chips,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pickled-jalapeno-peppers,Pickled jalapeño peppers,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pickled-peppers,Pickled peppers,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pickles,Pickles,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pie,Pie,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pine-nut,Pine Nut,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pineapple,Pineapple,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pineapple-juice,Pineapple Juice,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
piper-pepper,Piper Pepper,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
pizza,Pizza,composite_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
plant-based-burger-patty,Plant-based burger patty,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
plant-based-meat-alternative,Plant-based meat alternative,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
plant-based-milk,Plant-based milk,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
plant-derived,Plant Derived,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
pork,Pork,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
potato,Potato,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
poultry,Poultry,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
prepared-food,Prepared Food,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
prepared-meal,Prepared meal,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
quinoa,Quinoa,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
ranch-dressing,Ranch Dressing,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
rice,Rice,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
rosemary,Rosemary,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
salad,Salad,composite_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
salad-dressing,Salad dressing,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
salsa,Salsa,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
salsa-verde,Salsa Verde,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
salt,Salt,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
santa-fe-salad,Santa Fe Salad,prepared_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sauce,Sauce,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
seafood,Seafood,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
seasoning,Seasoning,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
seasoning-blend,Seasoning blend,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
seed,Seed,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
sesame,Sesame,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sesame-oil,Sesame oil,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sesame-seed,Sesame Seed,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sesame-seeds,Sesame seeds,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
shallot,Shallot,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
shellfish,Shellfish,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
smoke-roasted-salmon-bites,Smoke Roasted Salmon Bites,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
snack,Snack,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
soda,Soda,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
soup,Soup,composite_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
sour-cream,Sour cream,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
soy-sauce,Soy sauce,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
soybean,Soybean,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
spice,Spice,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
spicy-brown-mustard,Spicy brown mustard,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
spinach,Spinach,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sports-drink,Sports drink,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
spread,Spread,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
spring-onion,Spring Onion,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
staple,Staple,ingredient,staple_class,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
starch,Starch,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
steak-sauce,Steak sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
stock,Stock,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
stock-base,Stock base,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
stock-broth,Stock and Broth,prepared_food,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
stock-paste,Stock Paste,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
strawberry,Strawberry,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sugar,Sugar,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sun-dried-tomatoes,Sun-dried tomatoes,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sunflower-seed,Sunflower Seed,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sweet-potato,Sweet Potato,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
sweetener,Sweetener,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
swiss-cheese,Swiss cheese,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
syrup,Syrup,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tacos,Tacos,ingredient,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tahini,Tahini,prepared_food,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tamarind,Tamarind,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
thickener,Thickener,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
thyme,Thyme,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tomato,Tomato,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tomato-paste,Tomato Paste,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tomato-sauce,Tomato sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tortilla-chips,Tortilla chips,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
tree-nuts,Tree nuts,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
turmeric,Turmeric,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
vanilla,Vanilla,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
vanilla-extract,Vanilla Extract,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
vanilla-sugar,Vanilla Sugar,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
vegetable,Vegetable,ingredient,structural_category,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit structural category review,frozen-eval-v3.11:ingredient_ontology_entities
vegetable-soup,Vegetable soup,composite_food,composite_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
vegetables,Vegetables,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
vinegar,Vinegar,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
walnut,Walnut,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
walnuts,Walnuts,ingredient,identity_leaf,0,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
water,Water,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
wheat,Wheat,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
white-chocolate,White chocolate,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
wine,Wine,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
worcestershire-sauce,Worcestershire Sauce,ingredient,prepared_identity,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
yeast,Yeast,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
yellow-mustard,Yellow mustard,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
yogurt,Yogurt,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
zucchini,Zucchini,ingredient,identity_leaf,1,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit identity eligibility review,frozen-eval-v3.11:ingredient_ontology_entities
