normalized_label,label,language,required_cohort,prior_entity_slugs,prior_mechanisms,prior_occurrences,decision,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
de brie,de brie,und,,brie,exact_alias,6,retain,D1,brie,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de carottes,de carottes,und,,carrot,exact_alias,495,retain,D1,carrot,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de cebolla,de cebolla,und,,onion,exact_alias,506,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de cilantro,de cilantro,und,,coriander,attribute_alias,23,retain,D1,coriander,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de cilantro fresco,de cilantro fresco,und,,coriander,attribute_alias,54,retain,D1,coriander,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de coriandre fraîche,de coriandre fraîche,fr,fr,coriander,attribute_alias,389,retain,D2,coriander,"{""state"":""fresh""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de courgette,de courgette,und,,zucchini,exact_alias,109,retain,D1,zucchini,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de courgettes,de courgettes,und,,zucchini,exact_alias,188,retain,D1,zucchini,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de couscous,de couscous,und,,couscous,exact_alias,17,retain,D1,couscous,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de dientes de ajo,de dientes de ajo,und,,garlic,attribute_alias,7,retain,D1,garlic,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de farine,de farine,und,,flour,attribute_alias,190,retain,D1,flour,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de farine de blé,de farine de blé,fr,fr,flour,attribute_alias,770,retain,D2,flour,"{""form"":""flour""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de gousses d ail,de gousses d ail,und,,garlic,attribute_alias,13,retain,D1,garlic,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de guacamole,de guacamole,und,,guacamole,exact_alias,1,retain,D1,guacamole,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de harina,de harina,und,,flour,attribute_alias,154,retain,D1,flour,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de harina de trigo,de harina de trigo,und,,flour,attribute_alias,142,retain,D1,flour,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de huevos,de huevos,und,,egg,attribute_alias,1,retain,D1,egg,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de jus de citron,de jus de citron,fr,fr,lemon-juice,exact_alias,353,retain,D1,lemon-juice,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de ketchup,de ketchup,und,,ketchup,exact_alias,74,retain,D1,ketchup,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de l eau,De l'eau,fr,fr,water,exact_alias,21,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de l huile,de l huile,und,,oil,exact_alias,1,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de l huile d olive,de l huile d olive,und,,oil,attribute_alias,5,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de la baguette,de la baguette,und,,baguette,exact_alias,4,retain,D1,baguette,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de la coriandre fraîche,de la coriandre fraîche,und,,coriander,attribute_alias,2,retain,D1,coriander,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de lait,de lait,und,,milk,exact_alias,529,retain,D1,milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de leche,de leche,und,,milk,exact_alias,243,retain,D1,milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de levure boulangère fraîche,de levure boulangère fraîche,fr,fr,yeast,attribute_alias,227,retain,D2,yeast,"{""state"":""fresh""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de levure chimique,de levure chimique,fr,fr,baking-powder,exact_alias,216,retain,D1,baking-powder,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de lime,de lime,und,,lime,exact_alias,5,retain,D1,lime,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de mango,de mango,und,,mango,exact_alias,10,retain,D1,mango,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de mantequilla,de mantequilla,und,,butter,exact_alias,438,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de maple syrup,de maple syrup,und,,maple-syrup,exact_alias,4,retain,D1,maple-syrup,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de mayonnaise,de mayonnaise,und,,mayonnaise,exact_alias,62,retain,D1,mayonnaise,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de miel,de miel,fr,fr,honey,exact_alias,438,retain,D1,honey,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de miso,de miso,und,,miso,exact_alias,2,retain,D1,miso,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de mozzarella,de mozzarella,und,,mozzarella,exact_alias,130,retain,D1,mozzarella,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de orégano seco,de orégano seco,und,,oregano,attribute_alias,125,retain,D1,oregano,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de paprika,de paprika,und,,paprika,exact_alias,91,retain,D1,paprika,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de parmesan,de parmesan,und,,parmesan,exact_alias,256,retain,D1,parmesan,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de perejil fresco,de perejil fresco,und,,parsley,attribute_alias,133,retain,D1,parsley,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de persil frais,de persil frais,fr,fr,parsley,attribute_alias,317,retain,D2,parsley,"{""state"":""fresh""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de persil séché,de persil séché,und,,parsley,attribute_alias,3,retain,D1,parsley,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de pimienta,de pimienta,und,,pepper,exact_alias,12,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de pimienta blanca molida,de pimienta blanca molida,und,,pepper,attribute_alias,36,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de pimienta negra molida,de pimienta negra molida,und,,pepper,attribute_alias,286,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de poivre,de poivre,und,,pepper,exact_alias,19,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de poivre blanc moulu,de poivre blanc moulu,und,,pepper,attribute_alias,137,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de poivre moulu,De poivre moulu,fr,fr,pepper,attribute_alias,907,retarget,D2,piper-pepper,"{""form"":""ground""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de poivre noir moulu,de poivre noir moulu,und,,pepper,attribute_alias,298,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de pommes de terre,de pommes de terre,und,,potato,exact_alias,248,retain,D1,potato,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de sal,De sal,es,es,salt,exact_alias,1223,retain,D1,salt,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de sel,De sel,fr,fr,salt,exact_alias,2593,retain,D1,salt,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de soda,de soda,und,,soda,exact_alias,16,retain,D1,soda,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de sucre,de sucre,und,,sugar,exact_alias,357,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de sucre en poudre,de sucre en poudre,fr,fr,sugar,attribute_alias,819,retain,D2,sugar,"{""refinement"":""granulated""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de sucre glace,de sucre glace,fr,fr,sugar,attribute_alias,72,retain,D2,sugar,"{""refinement"":""powdered""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de zucchini,de zucchini,und,,zucchini,exact_alias,3,retain,D1,zucchini,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
de zumo de limón,de zumo de limón,und,,lemon-juice,exact_alias,158,retain,D1,lemon-juice,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dente de alho,dente de alho,pt,pt,garlic,attribute_alias,250,retain,D2,garlic,"{""form"":""clove""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dentes de alho,dentes de alho,pt,pt,garlic,attribute_alias,548,retain,D2,garlic,"{""form"":""clove""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di acqua,Di acqua,it,it,water,exact_alias,1144,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di avocado,di avocado,und,,avocado,exact_alias,4,retain,D1,avocado,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di baguette,di baguette,und,,baguette,exact_alias,1,retain,D1,baguette,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di brie,di brie,und,,brie,exact_alias,1,retain,D1,brie,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di burro,di burro,und,,butter,exact_alias,632,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di cipolla,di cipolla,und,,onion,exact_alias,287,retain,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di couscous,di couscous,und,,couscous,exact_alias,7,retain,D1,couscous,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di farina,di farina,und,,flour,attribute_alias,85,retain,D1,flour,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di farina tipo 00,di farina tipo 00,it,it,flour,attribute_alias,358,retain,D2,flour,"{""form"":""flour"",""refinement"":""type_00""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di ginger,di ginger,und,,ginger,exact_alias,1,retain,D1,ginger,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di ketchup,di ketchup,und,,ketchup,exact_alias,35,retain,D1,ketchup,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di latte,di latte,und,,milk,exact_alias,309,retain,D1,milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di lievito di birra fresco,di lievito di birra fresco,und,,yeast,attribute_alias,222,retain,D1,yeast,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di lime,di lime,und,,lime,exact_alias,5,retain,D1,lime,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di mango,di mango,und,,mango,exact_alias,3,retain,D1,mango,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di miso,di miso,und,,miso,exact_alias,6,retain,D1,miso,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di mozzarella,di mozzarella,und,,mozzarella,exact_alias,85,retain,D1,mozzarella,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di olio,di olio,und,,oil,exact_alias,5,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di olio d oliva,di olio d oliva,und,,oil,attribute_alias,3,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di olio extravergine di oliva,Di olio extravergine di oliva,it,it,oil,attribute_alias,533,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di olive,di olive,und,,olive,exact_alias,6,retain,D1,olive,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di origano secco,di origano secco,und,,oregano,attribute_alias,93,retain,D1,oregano,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di pasta,di pasta,und,,pasta,exact_alias,10,retain,D1,pasta,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di pepe,di pepe,und,,pepper,exact_alias,55,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di pepe bianco macinato,di pepe bianco macinato,und,,pepper,attribute_alias,71,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di pepe nero,di pepe nero,und,,pepper,attribute_alias,3,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di pepe nero macinato,Di pepe nero macinato,it,it,pepper,attribute_alias,583,retarget,D2,piper-pepper,"{""form"":""ground"",""variety"":""black""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di prezzemolo fresco,di prezzemolo fresco,und,,parsley,attribute_alias,157,retain,D1,parsley,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di sale,Di sale,it,it,salt,exact_alias,1810,retain,D1,salt,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di soda,di soda,und,,soda,exact_alias,4,retain,D1,soda,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di spicchi di aglio,di spicchi di aglio,und,,garlic,attribute_alias,6,retain,D1,garlic,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di spicchio di aglio,di spicchio di aglio,und,,garlic,attribute_alias,2,retain,D1,garlic,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di succo di limone,di succo di limone,it,it,lemon-juice,exact_alias,260,retain,D1,lemon-juice,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di tortilla chips,di tortilla chips,und,,tortilla-chips,exact_alias,2,retain,D1,tortilla-chips,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di uova,di uova,und,,egg,attribute_alias,11,retain,D1,egg,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di zucchero,di zucchero,und,,sugar,exact_alias,404,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
di zucchero a velo,di zucchero a velo,und,,sugar,attribute_alias,21,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
diente de ajo,diente de ajo,es,es,garlic,attribute_alias,358,retain,D2,garlic,"{""form"":""clove""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dientes de ajo,dientes de ajo,es,es,garlic,attribute_alias,415,retain,D2,garlic,"{""form"":""clove""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dijon mustard,Dijon mustard,und,,dijon-mustard,exact_alias,433,retain,D1,dijon-mustard,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
double cream,double cream,en,,cream,attribute_alias,312,retain,D2,cream,"{""cream_class"":""double""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dried instant yeast,dried instant yeast,en,,yeast,attribute_alias,464,retain,D2,yeast,"{""processing"":""dried""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dried oregano,dried oregano,en,,oregano,attribute_alias,447,retain,D2,oregano,"{""processing"":""dried""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dried parsley,dried parsley,en,,parsley,attribute_alias,58,retain,D2,parsley,"{""processing"":""dried""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
dried ramen noodles,Dried Ramen Noodles,en,,noodle,attribute_alias,17,retain,D2,noodle,"{""form"":""noodle"",""processing"":""dried"",""variety"":""ramen""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du beurre,du beurre,und,,butter,exact_alias,11,retain,D1,butter,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du ketchup,du ketchup,und,,ketchup,exact_alias,1,retain,D1,ketchup,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du paprika,du paprika,und,,paprika,exact_alias,1,retain,D1,paprika,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du parmesan,du parmesan,und,,parmesan,exact_alias,1,retain,D1,parmesan,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du persil frais,du persil frais,und,,parsley,attribute_alias,2,retain,D1,parsley,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du poivre moulu,Du poivre moulu,fr,fr,pepper,attribute_alias,444,retarget,D2,piper-pepper,"{""form"":""ground""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du poivre noir moulu,du poivre noir moulu,und,,pepper,attribute_alias,4,retarget,D1,piper-pepper,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du sel,du sel,und,,salt,exact_alias,434,retain,D1,salt,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
du sucre glace,du sucre glace,und,,sugar,attribute_alias,5,retain,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
duck,Duck,und,,duck,exact_alias,8,retain,D2,duck,"{""species"":""duck""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
eau,Eau,fr,fr,water,exact_alias,85,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
egg,egg,und,,egg,attribute_alias,597,retain,D2,egg,"{""egg_part"":""whole""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
egg noodles,Egg Noodles,en,,noodle,attribute_alias,1,retain,D2,noodle,"{""form"":""noodle"",""variety"":""egg""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
egg white,egg white,und,,egg-white,attribute_alias,126,retain,D2,egg-white,"{""egg_part"":""white""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
egg whites,Egg whites,und,,egg-white,attribute_alias,214,retain,D2,egg-white,"{""egg_part"":""white""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
